Number,ITEM,Name,Name,Name,Name,Name,Function,Function,Construction Year,Construction Year,Construction Year,Construction Year,Associated Figure,Associated Figure,Associated Figure,,,Location,Location,Location,Location,Location,
Monument ID,Name_Ministry of Antiquity_en,Ministry of Antiquity_ar,Ministry of Antiquity_variant,D. Abouseif_en,Napoleon's Map_ar,Napoleon's Map_fr,Facility Number,Facility Name,Ministry of Antiquity_AH,Ministry of Antiquity_AD,Abouseif,Fukami,Arabic,Variant,English,Latitude,Longtitude,Ministry of Antiquities,Nicholas Warner,Napoleon's Map_Region,Napoleon's Map_Area,Napoleon's Map_Monument ID,URL
114,"Qagmas al-Ishaqi/Abu Horeiba, burried in 19c.",مسجد قجماس الاسحاقى,Qagmās al-Isḥāqī (Abū Ḥoreība),Amir Qagmas al-Ishaqi of Sultan Qaytbay,جامع قسماس البرادعيه,Gâma’ Qesmâs el-Barâde’yeh ,a,minaret,885-86,1480-81,1479-81,1480,قجماس الاسحاقى,Qijmās al-Isḥāqī,Qijmas al-Ishaqi,30.041427,31.259524,6G,14,VIII,N-5,196,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument114
114,"Qagmas al-Ishaqi/Abu Horeiba, burried in 19c.",مسجد قجماس الاسحاقى,Qagmās al-Isḥāqī (Abū Ḥoreība),Amir Qagmas al-Ishaqi of Sultan Qaytbay,جامع قسماس البرادعيه,Gâma’ Qesmâs el-Barâde’yeh ,b,mausoleum,885-86,1480-81,1479-81,1480,قجماس الاسحاقى,Qijmās al-Isḥāqī,Qijmas al-Ishaqi,30.041344,31.259566,6G,14,VIII,N-5,196,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument114
114,"Qagmas al-Ishaqi/Abu Horeiba, burried in 19c.",مسجد قجماس الاسحاقى,Qagmās al-Isḥāqī (Abū Ḥoreība),Amir Qagmas al-Ishaqi of Sultan Qaytbay,جامع قسماس البرادعيه,Gâma’ Qesmâs el-Barâde’yeh ,c,mosque,885-86,1480-81,1479-81,1480,قجماس الاسحاقى,Qijmās al-Isḥāqī,Qijmas al-Ishaqi,30.041495,31.259575,6G,14,VIII,N-5,196,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument114
114,"Qagmas al-Ishaqi/Abu Horeiba, burried in 19c.",مسجد قجماس الاسحاقى,Qagmās al-Isḥāqī (Abū Ḥoreība),Amir Qagmas al-Ishaqi of Sultan Qaytbay,جامع قسماس البرادعيه,Gâma’ Qesmâs el-Barâde’yeh ,d,sabil,885-86,1480-81,1479-81,1480,قجماس الاسحاقى,Qijmās al-Isḥāqī,Qijmas al-Ishaqi,30.041467,31.259481,6G,14,VIII,N-5,196,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument114
114,"Qagmas al-Ishaqi/Abu Horeiba, burried in 19c.",مسجد قجماس الاسحاقى,Qagmās al-Isḥāqī (Abū Ḥoreība),Amir Qagmas al-Ishaqi of Sultan Qaytbay,جامع قسماس البرادعيه,Gâma’ Qesmâs el-Barâde’yeh ,e,"hawd, kuttab",885-86,1480-81,1479-81,1480,قجماس الاسحاقى,Qijmās al-Isḥāqī,Qijmas al-Ishaqi,30.041646,31.259537,6G,14,VIII,N-5,196,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument114
115,Ahmad al-Mihmandar,مسجد احمد المهمندار,Aḥmad al-Mihmandār,Amir Ahmad al-Mihmandar of Sultan al-Nasir,N/A,Passage et mousquée ,a,mausoleum,725,1324-25,1324-5,1324,احمد المهمندار,Aḥmad al-Mihmandār,Ahmad al-Mihmandar,30.040769,31.2597,6G,14,VIII,N-5,185,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument115
115,Ahmad al-Mihmandar,مسجد احمد المهمندار,Aḥmad al-Mihmandār,Amir Ahmad al-Mihmandar of Sultan al-Nasir,N/A,Passage et mousquée ,b,mosque,725,1324-25,1324-5,1324,احمد المهمندار,Aḥmad al-Mihmandār,Ahmad al-Mihmandar,30.040715,31.259625,6G,14,VIII,N-5,185,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument115
115,Ahmad al-Mihmandar,مسجد احمد المهمندار,Aḥmad al-Mihmandār,Amir Ahmad al-Mihmandar of Sultan al-Nasir,N/A,Passage et mousquée ,c,minaret,725,1324-25,1324-5,1324,احمد المهمندار,Aḥmad al-Mihmandār,Ahmad al-Mihmandar,30.040622,31.259687,6G,14,VIII,N-5,185,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument115
115,Ahmad al-Mihmandar,مسجد احمد المهمندار,Aḥmad al-Mihmandār,N/A,N/A,モスクマーク,d,"rab', qaysariyya",725,1324-25,N/A,1722,احمد المهمندار,Aḥmad al-Mihmandār,Ahmad al-Mihmandar,N/A,N/A,6G,14,VIII,N-5,185,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument115
116,as-Salih Tala'i,مسجد الصالح طلائع,aṣ-Ṣālih Ṭalāʼiʻ,Amir al-Salih Tala'I' of Fatimid Khalif al-Fa'iz,جامع الصالح,Gâma’ el-Sâleh,a,mosque,555,1160,1160,1160,الصالح طلائع,al-Ṣāliḥ Ṭalāʼiʻ,al-Salih Talai,30.042303,31.258043,6G,21,VIII,M-6,243,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument116
116,as-Salih Tala'i,مسجد الصالح طلائع,aṣ-Ṣālih Ṭalāʼiʻ,N/A,جامع الصالح,Gâma’ el-Sâleh,b,minaret,555,1160,N/A,Ottoman,الصالح طلائع,al-Ṣāliḥ Ṭalāʼiʻ,al-Salih Talai,N/A,N/A,6G,21,VIII,M-6,243,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument116
117,Mahmud al-Kurdi,مسجد الكردى - المدرسة المحمودية ( الخيامية ),Maḥmūd al-Kurdī,Mahmud al-Kurdi under Sultan Barquq,جامع المحموديه,Gâma’ el-Mahmoudyeh ,a,minaret,797,1395,1395,1395,الكردى,al-Kurdī,al-Kurdi,30.041769,31.257612,6G,21,VIII,N-6,237,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument117
117,Mahmud al-Kurdi,مسجد الكردى - المدرسة المحمودية ( الخيامية ),Maḥmūd al-Kurdī,Mahmud al-Kurdi under Sultan Barquq,جامع المحموديه,Gâma’ el-Mahmoudyeh ,b,mausoleum,797,1395,1395,1395,الكردى,al-Kurdī,al-Kurdi,30.041649,31.257582,6G,21,VIII,N-6,237,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument117
117,Mahmud al-Kurdi,مسجد الكردى - المدرسة المحمودية ( الخيامية ),Maḥmūd al-Kurdī,Mahmud al-Kurdi under Sultan Barquq,جامع المحموديه,Gâma’ el-Mahmoudyeh ,c,mosque,797,1395,1395,1395,الكردى,al-Kurdī,al-Kurdi,30.041654,31.257668,6G,21,VIII,N-6,237,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument117
118,Inal-al-Atabki,مدرسة اينال اليوسفى,Īnāl al-Atābkī,Amir Inal-al-Atabki of Sultan Sha'ban II,جامع سنان اليوسفي,Gâma’ Senân el-Yousfey ,a,mausoleum,794-95,1392-93,1392-3,1392,اينال اليوسفى,Īnāl al-Yūsufī,Inal al-Yusufi,30.041289,31.2575,6G,21,VIII,N-6,234,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument118
118,Inal-al-Atabki,مدرسة اينال اليوسفى,Īnāl al-Atābkī,Amir Inal-al-Atabki of Sultan Sha'ban II,جامع سنان اليوسفي,Gâma’ Senân el-Yousfey ,b,mosque,794-95,1392-93,1392-3,1392,اينال اليوسفى,Īnāl al-Yūsufī,Inal al-Yusufi,30.041207,31.257544,6G,21,VIII,N-6,234,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument118
118,Inal-al-Atabki,مدرسة اينال اليوسفى,Īnāl al-Atābkī,Amir Inal-al-Atabki of Sultan Sha'ban II,جامع سنان اليوسفي,Gâma’ Senân el-Yousfey ,c,sabil kuttab,794-95,1392-93,1392-3,1392,اينال اليوسفى,Īnāl al-Yūsufī,Inal al-Yusufi,30.04115,31.25741,6G,21,VIII,N-6,234,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument118
118,Inal-al-Atabki,مدرسة اينال اليوسفى,Īnāl al-Atābkī,Amir Inal-al-Atabki of Sultan Sha'ban II,جامع سنان اليوسفي,Gâma’ Senân el-Yousfey ,d,minaret,794-95,1392-93,1392-3,1392,اينال اليوسفى,Īnāl al-Yūsufī,Inal al-Yusufi,30.041192,31.257445,6G,21,VIII,N-6,234,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument118
119,Gani bek,مسجد جانى بك الاشرفى,Gānī Bek,"Ganibak, mamluk of Sultan Ashraf Barsbay, burried another tomb No.122",جامع الجنابقيه ة,Gâma’ el-Ganâbqyeh,a,minaret,830,1426-27,1426-7,1429,جانى بك الاشرفى,Jānī Bak al-Ashrafī,Jani Bak al-Ashrafi,30.039924,31.25692,6G,21,I,O-6,44,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument119
119,Gani bek,مسجد جانى بك الاشرفى,Gānī Bek,"Ganibak, mamluk of Sultan Ashraf Barsbay, burried another tomb No.122",جامع الجنابقيه ة,Gâma’ el-Ganâbqyeh,b,mausoleum,830,1426-27,1426-7,1429,جانى بك الاشرفى,Jānī Bak al-Ashrafī,Jani Bak al-Ashrafi,30.039798,31.256886,6G,21,I,O-6,44,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument119
119,Gani bek,مسجد جانى بك الاشرفى,Gānī Bek,"Ganibak, mamluk of Sultan Ashraf Barsbay, burried another tomb No.122",جامع الجنابقيه ة,Gâma’ el-Ganâbqyeh,c,mosque,830,1426-27,1426-7,1429,جانى بك الاشرفى,Jānī Bak al-Ashrafī,Jani Bak al-Ashrafi,30.039803,31.256987,6G,21,I,O-6,44,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument119
120,Altunbugha al-Maridani,مسجد الطنبغا الماردانى,Alṭunbughā al-Māridānī,"Amir Altunbugha al-Maridani, saqi and son-in low of Sultan al-Nasir",جامع المرداني,Gâma’ el-Mardâny ,a,mosque,739-40,1339-40,1339-40,1337,الطنبغا الماردانى,Alṭunbughā al-Māridānī,Altunbugha al-Maridani,30.039799,31.259242,6G,14,VIII,O-5,180,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument120
120,Altunbugha al-Maridani,مسجد الطنبغا الماردانى,Alṭunbughā al-Māridānī,"Amir Altunbugha al-Maridani, saqi and son-in low of Sultan al-Nasir",جامع المرداني,Gâma’ el-Mardâny ,b,minaret,739-40,1339-40,1339-40,1337,الطنبغا الماردانى,Alṭunbughā al-Māridānī,Altunbugha al-Maridani,30.039885,31.259536,6G,14,VIII,O-5,180,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument120
121,al-Ashraf Barsbay,خانقاه ومسجد السلطان برسباى,al-Ashraf Barsbāy,Sultan al-Ashraf Barsbay,N/A,N/A,a,minaret,835,1432,1432,1432,السلطان برسباى,al-Sulṭān Barsbāy,al-Sultan Barsbay,30.047521,31.277062,4L,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument121
121,al-Ashraf Barsbay,خانقاه ومسجد السلطان برسباى,al-Ashraf Barsbāy,Sultan al-Ashraf Barsbay,N/A,N/A,b,mausoleum,835,1432,1432,1432,السلطان برسباى,al-Sulṭān Barsbāy,al-Sultan Barsbay,30.047696,31.27726,4L,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument121
121,"al-Ashraf Barsbay, SE Tomb",خانقاه ومسجد السلطان برسباى,al-Ashraf Barsbāy,Sultan al-Ashraf Barsbay,N/A,N/A,c,mausoleum,835,1432,1432,1432,السلطان برسباى,al-Sulṭān Barsbāy,al-Sultan Barsbay,30.047358,31.277369,4L,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument121
121,al-Ashraf Barsbay,خانقاه ومسجد السلطان برسباى,al-Ashraf Barsbāy,Sultan al-Ashraf Barsbay,N/A,N/A,d,mosque,835,1432,1432,1432,السلطان برسباى,al-Sulṭān Barsbāy,al-Sultan Barsbay,30.047572,31.277169,4L,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument121
122,Gani Bek al-Ashrafi,قبة جانى بك الاشرفى,Gānī Bek al-Ashrafī,"Ganibak, mamluk of Sultan Ashraf Barsbay, construct No.119",N/A,N/A,,mausoleum,before 831,1427,1427-32,1427,جانى بك الاشرفى,Jānī Bak al-Ashrafī,Jani Bak al-Ashrafi,30.048181,31.27765,4L,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument122
123,"Ibrahim Agha Mustahfizan/Aqsunqur, Mausoleum of Sultan Kujuk",مسجد آق سنقر,Ibrāhīm Āghā Mustaḥfizān (Aqsunqur),"Amir Aqsunqur, son-in-low of Sultan al-Nasir, husband of Sultan al-Nasir's widow, buried Kujuk(son of Sultan al-Nasir)",جامع ابراهيم أغا ,Gâma’ Ibrâhym aghâ ,a,mausoleum,747-48,1346-47,1346-7,1346,آق سنقر,Āq Sunqur,Aq Sunqur,30.036461,31.260022,7H,15,VIII,P-Q-5,82,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument123
123,Ibrahim Agha Mustahfizan/Aqsunqur,مسجد آق سنقر,Ibrāhīm Āghā Mustaḥfizān (Aqsunqur),"Amir Aqsunqur, son-in-low of Sultan al-Nasir, husband of Sultan al-Nasir's widow",جامع ابراهيم أغا ,Gâma’ Ibrâhym aghâ ,b,mosque,747-48,1346-47,1346-7,1346,آق سنقر,Āq Sunqur,Aq Sunqur,30.036269,31.260225,7H,15,VIII,P-Q-5,82,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument123
123,Ibrahim Agha Mustahfizan/Aqsunqur,مسجد آق سنقر,Ibrāhīm Āghā Mustaḥfizān (Aqsunqur),"Amir Aqsunqur, son-in-low of Sultan al-Nasir, husband of Sultan al-Nasir's widow",جامع ابراهيم أغا ,Gâma’ Ibrâhym aghâ ,c,minaret,747-48,1346-47,1346-7,1346,آق سنقر,Āq Sunqur,Aq Sunqur,30.036203,31.260001,7H,15,VIII,P-Q-5,82,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument123
123,"Ibrahim Agha Mustahfizan/Aqsunqur, Mausoleum of Ibrahim Agha Mustaffizan",مسجد آق سنقر,Ibrāhīm Āghā Mustaḥfizān (Aqsunqur),"Ibrahim Agha Mustahfizan(exile in 1662), mamluk of Radwan Bey",جامع ابراهيم أغا ,Gâma’ Ibrâhym aghâ ,d,mausoleum,747-48,1346-47,N/A,1652,آق سنقر,Āq Sunqur,Aq Sunqur,30.036164,31.260084,7H,15,VIII,P-Q-5,82,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument123
124,"Barsbay Bagasy and Emir Sulayman, Mausoleum of Emir Sulayman",قبتا برسباى البجاسى والامير سليمان,Barsbāy al-Bagāsī / Emīr Sulaymān,Amir Sulayman,N/A,N/A,a,mausoleum,about 860-951,1456-1544,N/A,1544,برسباى البجاسى والامير سليمان,Barsbāy al-Bajāsī / al-Amīr Sulaymān,Barsbay al-Bajasi / al-Amir Sulayman,30.048984,31.276802,4L,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument124
124,"Barsbay Bagasy and Emir Sulayman, Mausoleum of Barsbay Bagasy",قبتا برسباى البجاسى والامير سليمان,Barsbāy al-Bagāsī / Emīr Sulaymān,"Amir Barsbay Bagasy, grand chamberian and Master of Horse of Sultan Inal",N/A,N/A,b,mausoleum,about 860-951,1456-1544,1456,1456,برسباى البجاسى والامير سليمان,Barsbāy al-Bajāsī / al-Amīr Sulaymān,Barsbay al-Bajasi / al-Amir Sulayman,30.04879,31.276865,4L,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument124
125,"Umm as-Sultan Shab'an, Mausoleum of Sultan Sha'ban",مدرسة ام السلطان شعبان,Umm as-Sultān Shaʻbān,"Khawand Baraka, wife of Sultan al-Nasir, mother of Sultan Sha'ban",جامع أم السلطان,Gâma’ Om el-Soultân ,a,mausoleum,770,1368-69,1368-9,1368,ام السلطان شعبان,Umm al-Sulṭān Shaʻbān,Umm al-Sultan Shaban,30.037086,31.259549,7G,15,VIII,P-5,167,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument125
125,"Umm as-Sultan Shab'an, Mausoleum of Umm al-Sultan Sha'ban, Khawand Baraka",مدرسة ام السلطان شعبان,Umm as-Sultān Shaʻbān,"Khawand Baraka, wife of Sultan al-Nasir, mother of Sultan Sha'ban",جامع أم السلطان,Gâma’ Om el-Soultân ,b,mausoleum,770,1368-69,1368-9,1368,ام السلطان شعبان,Umm al-Sulṭān Shaʻbān,Umm al-Sultan Shaban,30.037172,31.259655,7G,15,VIII,P-5,167,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument125
125,Umm as-Sultan Shab'an,مدرسة ام السلطان شعبان,Umm as-Sultān Shaʻbān,"Khawand Baraka, wife of Sultan al-Nasir, mother of Sultan Sha'ban",جامع أم السلطان,Gâma’ Om el-Soultân ,c,mosque,770,1368-69,1368-9,1368,ام السلطان شعبان,Umm al-Sulṭān Shaʻbān,Umm al-Sultan Shaban,30.037212,31.259478,7G,15,VIII,P-5,167,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument125
125,Umm as-Sultan Shab'an,مدرسة ام السلطان شعبان,Umm as-Sultān Shaʻbān,"Khawand Baraka, wife of Sultan al-Nasir, mother of Sultan Sha'ban",جامع أم السلطان,Gâma’ Om el-Soultân ,d,sabil kuttab,770,1368-69,1368-9,1368,ام السلطان شعبان,Umm al-Sulṭān Shaʻbān,Umm al-Sultan Shaban,30.037306,31.259643,7G,15,VIII,P-5,167,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument125
125,Umm as-Sultan Shab'an,مدرسة ام السلطان شعبان,Umm as-Sultān Shaʻbān,"Khawand Baraka, wife of Sultan al-Nasir, mother of Sultan Sha'ban",جامع أم السلطان,Gâma’ Om el-Soultân ,e,minaret,770,1368-69,1368-9,1368,ام السلطان شعبان,Umm al-Sulṭān Shaʻbān,Umm al-Sultan Shaban,30.037244,31.259649,7G,15,VIII,P-5,167,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument125
126,Alti Barmaq,مسجد التى برمق,Alṭī Barmaq,Alti Barmaq,جامع التي برمق,Gâma’ Alty Barmaq ,a,mausoleum,1123,1711,N/A,1711,التى برمق,Altī Barmaq,Alti Barmaq,30.035955,31.258311,7G,15,VIII,Q-5,150,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument126
126,Alti Barmaq,مسجد التى برمق,Alṭī Barmaq,Alti Barmaq,جامع التي برمق,Gâma’ Alty Barmaq ,b,minaret,1123,1711,N/A,1711,التى برمق,Altī Barmaq,Alti Barmaq,30.035956,31.258365,7G,15,VIII,Q-5,150,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument126
126,Alti Barmaq,مسجد التى برمق,Alṭī Barmaq,Alti Barmaq,جامع التي برمق,Gâma’ Alty Barmaq ,c,mosque,1123,1711,N/A,1711,التى برمق,Altī Barmaq,Alti Barmaq,30.03603,31.258242,7G,15,VIII,Q-5,150,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument126
126,Alti Barmaq,مسجد التى برمق,Alṭī Barmaq,Alti Barmaq,جامع التي برمق,Gâma’ Alty Barmaq ,d,sabil kuttab,1123,1711,N/A,1711,التى برمق,Altī Barmaq,Alti Barmaq,30.036137,31.258266,7G,15,VIII,Q-5,150,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument126
127,Sudun Min Zada,بقايا مدرسة الامير سودون من زاده,Sūdūn Min Zāda,Amir Sudun Min Zada,جامع مسدادة,Gâma’ Mesdâdeh ,a,mausoleum,804,1401,1401,1401,الامير سودون من زاده,al-Amīr Sūdūn Bak min Zādah,al-Amir Sudun Bak min Zadah,30.036741,31.258065,7G,15,VIII,Q-6,158,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument127
127,Sultan Min Zada,بقايا مدرسة الامير سودون من زاده,Sūdūn Min Zāda,Amir Sudun Min Zada,جامع مسدادة,Gâma’ Mesdâdeh ,b,mosque,804,1401,1401,1401,الامير سودون من زاده,al-Amīr Sūdūn Bak min Zādah,al-Amir Sudun Bak min Zadah,30.036594,31.258164,7G,15,VIII,Q-6,158,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument127
127,Sultan Min Zada,بقايا مدرسة الامير سودون من زاده,Sūdūn Min Zāda,Amir Sudun Min Zada,جامع مسدادة,Gâma’ Mesdâdeh ,c,minaret,804,1401,1401,1401,الامير سودون من زاده,al-Amīr Sūdūn Bak min Zādah,al-Amir Sudun Bak min Zadah,N/A,N/A,7G,15,VIII,Q-6,158,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument127
128,al-Qimari,قبة القمارى,al-Qimārī,N/A,جامع عبد الله بيه,Gâma’ A’bd-allah bey,a,mosque,about 730,1329-30,N/A,1850,القمارى,al-Qimārī,al-Qimari,30.037923,31.256856,7G,22,I,P-6,36,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument128
128,al-Qimari,قبة القمارى,al-Qimārī,N/A,جامع عبد الله بيه,Gâma’ A’bd-allah bey,b,mausoleum,about 730,1329-30,N/A,1329,القمارى,al-Qimārī,al-Qimari,30.037816,31.256846,7G,22,I,P-6,36,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument128
129,Ganem as Bahlawan,مدرسة جانم البهلوان,Gānem al-Bahlawān,"Ganem as Bahlawan, brother of Yashbak(Amir of Sultan Qaytbay)",جامع شيجانم,Gâma’ Chygânem,a,minaret,883-916,1478-1510,"1478, 1510",1478,جانم البهلوان,Jānim al-Bahlawān,Janim al-Bahlawan,30.037406,31.255572,7G,22,I,P-7,102,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument129
129,Ganem as Bahlawan,مدرسة جانم البهلوان,Gānem al-Bahlawān,"Ganem as Bahlawan, brother of Yashbak(Amir of Sultan Qaytbay)",جامع شيجانم,Gâma’ Chygânem,b,mosque,883-916,1478-1510,"1478, 1510",1478,جانم البهلوان,Jānim al-Bahlawān,Janim al-Bahlawan,30.037423,31.255674,7G,22,I,P-7,102,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument129
129,Ganem as Bahlawan,مدرسة جانم البهلوان,Gānem al-Bahlawān,"Ganem as Bahlawan, brother of Yashbak(Amir of Sultan Qaytbay)",جامع شيجانم,Gâma’ Chygânem,c,mausoleum,883-916,1478-1510,N/A,1510,جانم البهلوان,Jānim al-Bahlawān,Janim al-Bahlawan,30.037562,31.25569,7G,22,I,P-7,102,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument129
130,Ylmas,الامير جانم البهلوان,Ylmāṣ,"Amir Sayf al-Din Ulmas(d. 1333, executed), amir of Sultan al-Nasir",جامع الماظ,Gâma’ el-Mâz ,a,minaret,730,1329-30,N/A,1329,سيف الدين الماس,Sayf al-Dīn Ulmās,Sayf al-Din Ulmas,30.035326,31.254639,7F,22,I,R-7,85,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument130
